"Headline","Date","Source","City","State","Xenophobia","Location.Notes","Location.New","EventCodes","New3.PoliticalStatement","Old3.PoliticalStatement","New8.AsianBusinessDownturn","Old8.AsianBusinessDownturn","New9.AsianEventCancellation","Old9.AsianEventCancellation","New10.Transportation","Old10.Transportation","New12.AdultHarassment","Old12.AdultHarassment","New13.ChildHarassment","Old13.ChildHarassment","New14.OfficialStancesAgainstXenophobia","Old14.OfficialStancesAgainstXenophobia","New15.AsiansResistXenophobia","Old15.AsiansResistXenophobia","New16.Vandalism","Old16.Vandalism","Old.18","latitude","longitude"
"Hoonhout, T. (2020, April 14). Chinese Consulate Asked Wisconsin State Senate to Praise CCP for 'Sharing Key Information' about Coronavirus, Emails Show. National Review. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A5BC827741D7F0.","4/14/20","National Review","New York","NY","Coronavirus is Chinese","Madison, WI","Madison, WI","New 3 - Political Statement","New 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.0730517,-89.4012302
"YOUR TURN | Coronavirus. (2020, April 14). San Antonio Express-News (TX), p. A009. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A5AE71DA875220.","4/14/20","San Antonio Express-News ","San Antonio","TX","Xenophobia is bad","Texas","Texas","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9685988,-99.9018131
"Hingston, S. (2020, April 14). The Sad, Seemingly Inevitable History of Blaming Pandemics on ""Others"" - From ""the Black Death"" to ""the Chinese Virus,"" an examination of pandemic-shaming with Penn expert David Barnes.. Philadelphia Magazine (PA). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A5C411631F5540.","4/14/20"," Philadelphia Magazine ","Philadelphia","PA","Xenophobia is bad","Philadelphia","Philadelphia, PA","Old 8 - Asian Business Downturn",NA,NA,NA,"Old 8 - Asian Business Downturn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9525839,-75.1652215
"(2020, April 15). Seattle Times, The (WA), p. 1. Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=image/v2%3A1693E713EA14EF18%40AWNB-17A5B497680D1C0D%402458955-17A5B49D82FAB42C%400-17A5B49D82FAB42C%40.","4/15/20","The Seattle Times","Seattle","WA","Xenophobia is bad","Seattle, WA","Seattle, WA","Old 8 - Asian Business Downturn",NA,NA,NA,"Old 8 - Asian Business Downturn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6062095,-122.3320708
"(2020, April 15). Cape Cod Times (Hyannis, MA), p. 7. Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=image/v2%3A16FAB21DCCBA4148%40AWNB-17A5A8731017FA7F%402458955-17A5A87E2EC05A38%406-17A5A87E2EC05A38%40.","4/15/20","Cape Cod Times ","Cape Cod","MA","Xenophobia is bad","Cape Cod, MA","Cape Cod, MA","Old 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6687897,-70.2962408
"Pak, S. (2020, April 15). Bellevue police town hall addresses racism stemming from COVID-19 outbreak. Issaquah & Sammamish Reporter (WA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A6FDC42DA6EF78.","4/15/20","Issaquah & Sammamish Reporter ","Issaquah","WA","Xenophobia is bad","Bellevue, WA","Bellevue, WA","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,47.6101497,-122.2015159
"LEE, C. (2020, April 15). Sonoma County's Asian-owned businesses 'trying to hang in there' as business slows during shelter-in-place order. Press Democrat, The (Santa Rosa, CA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A60ACC02DE3CD8.","4/15/20","The Press Democrat","Santa Rosa","CA","Xenophobia is bad","Sonoma County, CA","Sonoma County, CA","New 8 - Asian Business Downturn|Old 13 - Child Harassment",NA,NA,"New 8 - Asian Business Downturn",NA,NA,NA,NA,NA,NA,NA,NA,"Old 13 - Child Harassment",NA,NA,NA,NA,NA,NA,NA,38.5779555,-122.9888319
"NEPHIN | Staff Writer, D. (2020, April 15). State police have no COVID-19 hate crime investigations in PA; urge victims to report. LNP (Lancaster, PA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A61F71954AE5B0.","4/15/20","LNP ","Lancaster","PA","Xenophobia is bad","Lancaster, PA","Lancaster, PA","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,40.0378755,-76.3055144
"Tracy, M. (2020, April 15). In New Crisis, Public Health Leader Recalls AIDS' Lessons. Gay City News (New York, NY). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A60FFB227ACC28.","4/15/20","Gay City News ","Gay City News","NY","Xenophobia is bad","New York, NY","New York, NY","Old 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7127753,-74.0059728
"Kennedy, B. (2020, April 15). Asian-bashing and a family stabbed: ‘I've never seen [Asian-Americans] this upset'. Fort Worth Star-Telegram (TX). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A619419C1F95C0.","4/15/20","Fort Worth Star-Telegram ","Fort Worth","TX","Xenophobia is bad","Texas","Texas","New 12 - Adult Harassment|Old 13 - Child Harassment|New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,"New 12 - Adult Harassment",NA,NA,"Old 13 - Child Harassment",NA,NA,"New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,31.9685988,-99.9018131
"Cashill, J. (2020, April 15). Virtue signaling in the time of corona. American Thinker (USA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A600946262B818.","4/15/20","American Thinker ",NA,NA,"Racism is overplayed","Columbia, MO","Columbia, MO","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,38.9517053,-92.3340724
"FEDERAL LAW ENFORCEMENT LEADERS AFFIRM IMPORTANCE OF PROTECTING CIVIL RIGHTS AMID CORONAVIRUS PANDEMIC. (2020, April 15). US Fed News (USA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A627E4DFD7D718.","4/15/20","US Fed News","Washington DC","DC","Xenophobia is bad","Portland, OR","Portland, OR","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,45.5051064,-122.6750261
"Samuels, A. (2020, April 15). In a pandemic and an election year, Texas Democrats look for the right tone - The party, which has high hopes in the state in 2020, is looking to offer contrast without politicizing a crisis.. Texas Tribune, The (TX). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A5B996685879D8.","4/15/20","The  Texas Tribune","Austin","TX","Xenophobia is bad","Texas","Texas","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,31.9685988,-99.9018131
"Cooper, A. (2020, April 15). Trump: ""We Have Great Tests And We Want The States To Administer These Tests""; Trump Threatens To Adjourn Congress In Middle Of Pandemic If It Doesn't Approve His Nominees; U.S. Death Totals Compiled By CDC Will Now Include ""Probable"" Cases; NY, CT Order Residents To Wear Face Masks In Public When Social Distancing Not Possible; Study: People May Be Most Infectious Days Before Symptoms Appear; LA Mayor: Concerts, Sporting Events May Be Put On Hold Until 2021; Report: China Took Six Days To Warn Public Of Likely Coronavirus Outbreak. Aired 8-9p ET. Anderson Cooper 360 [CNN] (USA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A60C4B5C243170.","4/15/20","Anderson Cooper 360 [CNN] ","Atlanta","GA","Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Letters: Racial bigotry pushes our community further away during this crisis. (2020, April 15). Park Record, The (Park City, UT). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A911D86AB4B958.","4/15/20","The Park Record","Park City","UT","Xenophobia is bad","Park City, UT","Park City, UT","New 13 - Child Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 13 - Child Harassment",NA,NA,NA,NA,NA,NA,NA,NA,40.6460622,-111.4979729
"Park, J. (2020, April 15). Orange County gets more than 10,000 face masks from Asian American nonprofits. Orange County Register, The: Web Edition Articles (CA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A5B8B3DEA26C28.","4/15/20","The Orange County Register","Orange County","CA","Xenophobia is bad","Orange County, CA","Orange County, CA","New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,33.7174708,-117.8311428
"Student organizations still serving the student body. (2020, April 15). Daily Campus, The: University of Connecticut (CT). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A5CCA2D7912C30.","4/15/20","The Daily Campus","Mansfield","CT","Xenophobia is bad","Mansfield, CT","Mansfield, CT","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,41.788489,-72.2292913
"Meckley, T. (2020, April 15). Politics in the midst of a pandemic. Clause, The: Azusa Pacific University (CA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A898C131B49430.","4/15/20","The Clause","Azusa","CA","Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"(2020, April 16). Corpus Christi Caller-Times (TX), p. 5. Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=image/v2%3A16F6746001B2CC98%40AWNB-17A60B6589BEAD3D%402458956-17A60B6EA8D60768%404-17A60B6EA8D60768%40.","4/16/20","Corpus Christi Caller-Times ","Corpus Christi","TX","Xenophobia is bad","Midland, TX","Midland, TX","Old 13 - Child Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old 13 - Child Harassment",NA,NA,NA,NA,NA,NA,NA,31.9973456,-102.0779146
"(2020, April 16). San Antonio Express-News, p. 10. Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=image/v2%3A16AC4EEDC1D84A40%40AWNB-17A6004ADAEA993A%402458956-17A60053DA4CFC35%409-17A60053DA4CFC35%40.","4/16/20","San Antonio Express-News","San Antonio","TX","Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Natividad, I. (2020, April 16). Opinion: Racist Harassment of Asian Health Care Workers Won't Cure Coronavirus. Oakland Post, The (CA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A66BA4439290E8.","4/16/20","The Oakland Post","Oakland","CA","Xenophobia is bad","California","California","New 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,"New 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.778261,-119.4179324
"(2020, April 16). Washington Times, The (DC), p. 16. Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=image/v2%3A16EC8BD9E46F7FD8%40AWNB-17A5F5DB87928D2D%402458956-17A5F5E3C8F6A857%4015-17A5F5E3C8F6A857%40.","4/16/20","The Washington Times","Washington DC","DC","Xenophobia is bad","Scottsadale, AZ","Scottsadale, AZ","New 16 - Vandalism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 16 - Vandalism",NA,NA,33.4941704,-111.9260519
"Fernández Campbell, A. (2020, April 16). Federal agencies are doing little about the rise in anti-Asian hate - The federal government's response amid the coronavirus pales in comparison to actions taken during the SARS outbreak and after the 9/11 terrorist attacks.. Center for Public Integrity, The (USA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A66089C371C278.","4/16/20","Center for Public Integrity, The ","Washington DC","DC","Xenophobia is bad","New York, NY -- mentions Stop AAPI Hate","New York, NY -- mentions Stop AAPI Hate","Old 3 - Political Statement|New 12 - Adult Harassment|Old 12 - Adult Harassment|New 14 - Official Stances Against Xenophobia|Old 14 - Official Stances Against Xenophobia|Old 15 - Asians Resist Xenophobia",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,"New 12 - Adult Harassment","Old 12 - Adult Harassment",NA,NA,"New 14 - Official Stances Against Xenophobia","Old 14 - Official Stances Against Xenophobia",NA,"Old 15 - Asians Resist Xenophobia",NA,NA,NA,40.7127753,-74.0059728
"Content, S. (2020, April 16). Edison juvenile allegedly yelled racial slurs at Asian woman for COVID-19 origins. Edison-Metuchen Sentinel (NJ). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A75264C696CC50.","4/16/20","Edison-Metuchen Sentinel ","Edison","NJ","Xenophobia is bad","Edison, NJ","Edison, NJ","New 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,"New 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5187154,-74.4120953
"Driscoll, M. (2020, April 16). Tacoma commission chair fears coronavirus discrimination. He saw the same thing during Ebola. News Tribune, The: Blogs (Tacoma, WA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A66B6A2D3A5E80.","4/16/20","The News Tribune","Tacoma","WA","Xenophobia is bad","Tacoma, WA","Tacoma, WA","New 12 - Adult Harassment|Old 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,"New 12 - Adult Harassment",NA,NA,NA,NA,"Old 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,47.2528768,-122.4442906
"Philanthropies, M. (2020, April 16). Sponsored: Communities rally to help neighbors impacted by novel coronavirus. Seattle Times, The: Web Edition Articles (WA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A668CF12A8B3F0.","4/16/20","The Seattle Times","Seattle","WA","Xenophobia is bad","Seattle, WA","Seattle, WA","Old 8 - Asian Business Downturn",NA,NA,NA,"Old 8 - Asian Business Downturn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6062095,-122.3320708
"Sen. Rosen Calls on Federal Agencies to Address Racist and Xenophobic Coronavirus-Related Attacks Against Asian Americans. (2020, April 16). Targeted News Service: U.S. Senate (USA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A616B0554B1490.","4/16/20","Targteted News Service",NA,NA,"Xenophobia is bad","Washington DC","Washington, District of Columbia","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"LU, R. (2020, April 16). Midd clubs get creative to bridge the geographic gap. Middlebury Campus, The: Middlebury College (VT). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A65D2FE2F3D0A0.","4/16/20","The Middlebury Campus","Middlebury","VT","Xenophobia is bad","Middlebury, VT","Middlebury, VT","Old 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old 15 - Asians Resist Xenophobia",NA,NA,NA,44.0153371,-73.16734
"Wildermuth, J. (2020, April 16). MainNews. San Francisco Chronicle (CA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A60A86768B4990.","4/16/20","MainNews. San Francisco Chronicle ","San Fransisco","CA","Xenophobia is bad","San Fransisco, CA","San Fransisco, CA","Old 8 - Asian Business Downturn",NA,NA,NA,"Old 8 - Asian Business Downturn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7749295,-122.4194155
"Digital, T. (2020, April 16). Sen. Cotton introduces bill allowing Americans to sue China over coronavirus - Arkansas Sen. Tom Cotton and Texas Rep. Dan Crenshaw introduced legislation that would allow Americans to sue China over the coronavirus.. CBS - 5 KFSM (Fort Smith, Fayetteville, Springdale, Rogers, AR). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A644A0A8D4C628.","4/16/20"," CBS - 5 KFSM ","Fort Smith","AR","Xenophobia is bad","Washington DC","Washington, District of Columbia","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Ore. U.S. Attorney Williams: Federal Law Enforcement Leaders Affirm Importance of Protecting Civil Rights Amid Coronavirus Pandemic. (2020, April 16). Targeted News Service (USA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A616AFEC36B5D8.","4/16/20","Targeted News Service",NA,NA,"Xenophobia is bad","Portland, OR","Portland, OR","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,45.5051064,-122.6750261
"Cristantiello, R. (2020, April 16). Chinese American groups unite community. Lexington Minuteman (MA), p. A1. Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A633AF1D9E5238.","4/16/20","Lexington Minuteman ","Lexington","MA","Xenophobia is bad","Lexington, MA","Lexington, MA","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,42.4473497,-71.2271531
"Documenting the toll of coronavirus on New York City's Chinatown. (2020, April 16). PRI's The World: Web Edition Articles (USA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A658081F354200.","4/16/20","PRI's The World",NA,NA,"Xenophobia is bad","New York, NY","New York, NY","Old 8 - Asian Business Downturn",NA,NA,NA,"Old 8 - Asian Business Downturn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7127753,-74.0059728
"Stitt, C. (2020, April 16). Ann Arbor group hosts webinars on how coronavirus outbreak affects minority communities. Ann Arbor News: Web Edition Articles (MI). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A63F540AE5DF08.","4/16/20","Ann Arbor News: Web Edition Articles ","Ann Arbor","MI","Xenophobia is bad","Ann Arnor, MI","Ann Arnor, MI","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,42.2808256,-83.7430378
"War, Irony And The New Normal | Robert C. Koehler. (2020, April 16). Bainbridge Island Review (WA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A6F95544473ED0.","4/16/20","Bainbridge Island Review ","Bainbridge Island","WA","Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Hatcher: America's biggest viral challenger--Coronavirus or Trump?. (2020, April 16). Observer, The: Case Western Reserve University (Cleveland, OH). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A65AA947D7B890.","4/16/20","The Observer","Cleveland","OH","Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Letters to the editor. (2020, April 16). Brookline TAB (MA), p. A6. Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A630C6430554A8.","4/16/20","Brookline TAB ","Brookline","MA","Xenophobia is bad","Brookline, MA","Brookline, MA","New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,42.3317642,-71.1211635
"Hou, Y. (2020, April 16). Chinese community unites to help out. Weston Town Crier, The (MA), p. B4. Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A63589F0B68520.","4/16/20","The Weston Town Crier","Weston","MA","Xenophobia is bad","Weston, MA","Weston, MA","New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,42.3667625,-71.3031132
"Sen. Feinstein Statement on Rise of Hate Crimes Related to Coronavirus Racism. (2020, April 16). Targeted News Service (USA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A616AF62C25C78.","4/16/20","Targeted News Service",NA,NA,"Xenophobia is bad","Washington DC","Washington, District of Columbia","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Matrisciano, S. (2020, April 16). Penn State student political organizations weigh in on President Trump’s coronavirus response. Daily Collegian, The: Pennsylvania State University (PA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A62FECDAFF0A90.","4/16/20","The Daily Collegian","State College","PA","Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Fiorillo, V. (2020, April 16). Philly Lawyer Sues for Defamation After Instagram Post Paints Him As Coughing Coronavirus Villain - A jogger, an attorney and their clash outside of Center City's Apple Store.. Philadelphia Magazine (PA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A672A763398C30.","4/16/20"," Philadelphia Magazine ","Philadelphia","PA","Xenophobia is bad","Philadelphia","Philadelphia, PA","Old 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9525839,-75.1652215
"NEW BRUNSWICK, T. (2020, April 16). Juvenile Charged in Anti-Asian Bias Attack in Edison. TAPinto.net (NJ). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A68DD9F9129C68.","4/16/20","TAPinto.net ",NA,"NJ","Xenophobia is bad","Edison, NJ","Edison, NJ","Old 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5187154,-74.4120953
"REPORT DISCRIMINATION, HATE OR BIAS. (2020, April 16). US Fed News (USA). Available from NewsBank: Access World News is provided by the University of Michigan Library: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=AWNB&docref=news/17A67C694A628608.","4/16/20","US Fed News",NA,"OR","Xenophobia is bad","Eugene, OR","Eugene, OR","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,44.0520691,-123.0867536
